;Flow ID;Src IP;Src Port;Dst IP;Dst Port;Timestamp;Flow Duration;Tot Fwd Pkts;Tot Bwd Pkts;TotLen Fwd Pkts;TotLen Bwd Pkts;Fwd Pkt Len Max;Fwd Pkt Len Min
3229550;172.31.69.25-18.219.193.20-80-44640-6;172.31.69.25;80;18.219.193.20;44640;16/02/2018 11:25:25 PM;4632142;4;5;935.0;744.0;935.0;0.0
457355;172.31.69.25-18.219.193.20-80-37654-6;18.219.193.20;37654;172.31.69.25;80;16/02/2018 11:17:55 PM;90666;2;1;0.0;0.0;0.0;0.0
115733;172.31.69.25-18.218.11.51-80-62227-6;18.218.11.51;62227;172.31.69.25;80;20/02/2018 10:39:06;1748897;3;4;20.0;964.0;20.0;0.0
3366852;172.31.69.25-18.219.193.20-80-34458-6;172.31.69.25;80;18.219.193.20;34458;16/02/2018 11:26:26 PM;4423949;4;4;935.0;324.0;935.0;0.0
1678166;172.31.69.25-18.219.193.20-80-33650-6;18.219.193.20;33650;172.31.69.25;80;16/02/2018 11:27:02 PM;27519;1;1;0.0;0.0;0.0;0.0
438360;172.31.69.25-18.219.193.20-80-39764-6;18.219.193.20;39764;172.31.69.25;80;16/02/2018 11:17:46 PM;1044;1;1;0.0;0.0;0.0;0.0
342616;172.31.69.25-18.219.9.1-80-60498-6;18.219.9.1;60498;172.31.69.25;80;20/02/2018 11:08:53;1680911;3;4;20.0;964.0;20.0;0.0
1314377;172.31.69.28-18.216.24.42-80-58766-6;172.31.69.28;80;18.216.24.42;58766;21/02/2018 11:50:45 PM;16186;4;3;935.0;316.0;935.0;0.0
411434;172.31.69.25-18.219.193.20-80-45506-6;18.219.193.20;45506;172.31.69.25;80;16/02/2018 11:17:35 PM;12569;1;1;0.0;0.0;0.0;0.0
566104;172.31.69.25-18.219.193.20-80-40444-6;18.219.193.20;40444;172.31.69.25;80;16/02/2018 11:18:43 PM;11370;1;1;0.0;0.0;0.0;0.0
332791;172.31.69.25-52.14.136.135-80-59973-6;52.14.136.135;59973;172.31.69.25;80;20/02/2018 10:32:54;25492557;2;0;0.0;0.0;0.0;0.0
159265;172.31.69.25-18.218.55.126-80-50651-6;18.218.55.126;50651;172.31.69.25;80;20/02/2018 10:48:31;1530119;3;4;20.0;964.0;20.0;0.0
3222393;172.31.69.25-18.219.193.20-80-54420-6;172.31.69.25;80;18.219.193.20;54420;16/02/2018 11:25:22 PM;4551980;4;5;935.0;367.0;935.0;0.0
1358662;172.31.69.25-18.219.193.20-80-51946-6;18.219.193.20;51946;172.31.69.25;80;16/02/2018 11:24:37 PM;17628;1;1;0.0;0.0;0.0;0.0
3224978;172.31.69.25-18.219.193.20-80-34180-6;172.31.69.25;80;18.219.193.20;34180;16/02/2018 11:25:23 PM;4537456;4;4;935.0;310.0;935.0;0.0
2870763;172.31.69.25-18.219.193.20-80-36038-6;172.31.69.25;80;18.219.193.20;36038;16/02/2018 11:22:47 PM;4266685;3;6;935.0;353.0;935.0;0.0
448366;172.31.69.25-18.219.193.20-80-40578-6;18.219.193.20;40578;172.31.69.25;80;16/02/2018 11:17:51 PM;837;1;1;0.0;0.0;0.0;0.0
1400866;172.31.69.25-18.219.193.20-80-59598-6;18.219.193.20;59598;172.31.69.25;80;16/02/2018 11:24:56 PM;44729;2;1;0.0;0.0;0.0;0.0
651880;172.31.69.28-18.219.5.43-80-54531-6;18.219.5.43;54531;172.31.69.28;80;22/02/2018 12:01:48 AM;1409;1;1;0.0;0.0;0.0;0.0
2338533;172.31.69.25-18.219.193.20-80-60258-6;172.31.69.25;80;18.219.193.20;60258;16/02/2018 11:18:55 PM;4508047;4;5;935.0;620.0;935.0;0.0
2092662;172.31.69.25-18.219.193.20-80-34814-6;172.31.69.25;80;18.219.193.20;34814;16/02/2018 11:17:08 PM;5471316;4;6;935.0;622.0;935.0;0.0
1948285;172.31.69.28-18.219.5.43-80-59287-6;172.31.69.28;80;18.219.5.43;59287;22/02/2018 12:20:33 AM;1580;4;3;935.0;310.0;935.0;0.0
398116;172.31.69.28-18.216.24.42-80-59194-6;18.216.24.42;59194;172.31.69.28;80;21/02/2018 11:50:55 PM;6419;1;1;0.0;0.0;0.0;0.0
307182;172.31.69.25-52.14.136.135-80-58656-6;52.14.136.135;58656;172.31.69.25;80;20/02/2018 11:05:01;1562465;3;4;20.0;964.0;20.0;0.0
1210420;172.31.69.25-18.219.193.20-80-51824-6;18.219.193.20;51824;172.31.69.25;80;16/02/2018 11:23:30 PM;489;1;1;0.0;0.0;0.0;0.0
1647958;172.31.69.25-18.219.193.20-80-58824-6;18.219.193.20;58824;172.31.69.25;80;16/02/2018 11:26:48 PM;800;1;1;0.0;0.0;0.0;0.0
2647145;172.31.69.25-18.219.193.20-80-34584-6;172.31.69.25;80;18.219.193.20;34584;16/02/2018 11:21:08 PM;4973604;4;5;935.0;650.0;935.0;0.0
1704074;172.31.69.28-52.14.136.135-80-51094-6;172.31.69.28;80;52.14.136.135;51094;22/02/2018 12:08:02 AM;22474;4;3;935.0;339.0;935.0;0.0
314210;172.31.69.25-18.216.24.42-80-58634-6;18.216.24.42;58634;172.31.69.25;80;20/02/2018 10:30:53;9164183;2;0;0.0;0.0;0.0;0.0
1213953;172.31.69.25-18.219.193.20-80-34160-6;18.219.193.20;34160;172.31.69.25;80;16/02/2018 11:23:32 PM;1042;1;1;0.0;0.0;0.0;0.0
3282608;172.31.69.25-18.219.193.20-80-50004-6;172.31.69.25;80;18.219.193.20;50004;16/02/2018 11:25:49 PM;4654644;4;6;935.0;951.0;935.0;0.0
886575;172.31.69.28-52.14.136.135-80-61219-6;52.14.136.135;61219;172.31.69.28;80;22/02/2018 12:13:03 AM;2177;1;1;0.0;0.0;0.0;0.0
1538442;172.31.69.28-18.216.200.189-80-64798-6;172.31.69.28;80;18.216.200.189;64798;22/02/2018 12:00:13 AM;1509;4;3;935.0;316.0;935.0;0.0
2008156;172.31.69.25-18.219.193.20-80-35236-6;172.31.69.25;80;18.219.193.20;35236;16/02/2018 11:16:33 PM;4336150;4;4;935.0;326.0;935.0;0.0
1725928;172.31.69.28-18.218.115.60-80-65452-6;172.31.69.28;80;18.218.115.60;65452;22/02/2018 12:09:04 AM;1323;4;3;935.0;266.0;935.0;0.0
3208245;172.31.69.25-18.219.193.20-80-43582-6;172.31.69.25;80;18.219.193.20;43582;16/02/2018 11:25:16 PM;4564271;4;4;935.0;324.0;935.0;0.0
3130106;172.31.69.25-18.219.193.20-80-51342-6;172.31.69.25;80;18.219.193.20;51342;16/02/2018 11:24:41 PM;4214131;4;4;935.0;376.0;935.0;0.0
1290596;172.31.69.28-18.216.200.189-80-56209-6;172.31.69.28;80;18.216.200.189;56209;21/02/2018 11:49:45 PM;1135;4;3;935.0;274.0;935.0;0.0
1580600;172.31.69.25-18.219.193.20-80-36262-6;18.219.193.20;36262;172.31.69.25;80;16/02/2018 11:26:17 PM;28736;1;1;0.0;0.0;0.0;0.0
1021208;172.31.69.28-18.219.5.43-80-58616-6;18.219.5.43;58616;172.31.69.28;80;22/02/2018 12:20:10 AM;405;1;1;0.0;0.0;0.0;0.0
1308719;172.31.69.25-18.219.193.20-80-51092-6;18.219.193.20;51092;172.31.69.25;80;16/02/2018 11:24:14 PM;33261;1;1;0.0;0.0;0.0;0.0
2093063;172.31.69.28-18.218.55.126-80-56967-6;172.31.69.28;80;18.218.55.126;56967;22/02/2018 12:30:09 AM;75938;4;3;935.0;300.0;935.0;0.0
162537;172.31.69.25-18.219.5.43-80-51048-6;18.219.5.43;51048;172.31.69.25;80;20/02/2018 10:49:06;1680104;3;4;20.0;964.0;20.0;0.0
1577526;172.31.69.28-18.216.200.189-80-52372-6;172.31.69.28;80;18.216.200.189;52372;22/02/2018 12:02:03 AM;16941;4;3;935.0;315.0;935.0;0.0
1569644;172.31.69.25-18.219.193.20-80-33264-6;18.219.193.20;33264;172.31.69.25;80;16/02/2018 11:26:12 PM;3165;1;1;0.0;0.0;0.0;0.0
2263360;172.31.69.25-18.219.193.20-80-46132-6;172.31.69.25;80;18.219.193.20;46132;16/02/2018 11:18:24 PM;3255221;4;4;935.0;389.0;935.0;0.0
828958;172.31.69.28-18.216.24.42-80-53141-6;18.216.24.42;53141;172.31.69.28;80;22/02/2018 12:10:10 AM;23465;1;1;0.0;0.0;0.0;0.0
178555;172.31.69.25-18.219.9.1-80-52211-6;18.219.9.1;52211;172.31.69.25;80;20/02/2018 10:50:58;1855623;3;4;20.0;964.0;20.0;0.0
1141561;172.31.69.25-18.219.193.20-80-55342-6;18.219.193.20;55342;172.31.69.25;80;16/02/2018 11:22:59 PM;225;1;1;0.0;0.0;0.0;0.0
1790833;172.31.69.28-18.218.11.51-80-57477-6;172.31.69.28;80;18.218.11.51;57477;22/02/2018 12:12:14 AM;33191;4;3;935.0;316.0;935.0;0.0
266606;172.31.69.25-18.219.9.1-80-56671-6;18.219.9.1;56671;172.31.69.25;80;20/02/2018 10:25:16;29578475;2;0;0.0;0.0;0.0;0.0
1839249;172.31.69.28-18.216.24.42-80-62198-6;172.31.69.28;80;18.216.24.42;62198;22/02/2018 12:14:43 AM;3994;4;3;935.0;276.0;935.0;0.0
1797776;172.31.69.28-18.219.9.1-80-60790-6;172.31.69.28;80;18.219.9.1;60790;22/02/2018 12:12:35 AM;1490;4;3;935.0;273.0;935.0;0.0
1656025;172.31.69.28-18.219.5.43-80-62909-6;172.31.69.28;80;18.219.5.43;62909;22/02/2018 12:05:46 AM;22470;4;3;935.0;267.0;935.0;0.0
1619834;172.31.69.28-18.219.9.1-80-59463-6;172.31.69.28;80;18.219.9.1;59463;22/02/2018 12:04:03 AM;1385;4;3;935.0;274.0;935.0;0.0
3259371;172.31.69.25-18.219.193.20-80-43518-6;172.31.69.25;80;18.219.193.20;43518;16/02/2018 11:25:39;;;;;;;
